French,Spanish,English,FrCommon
gaspiller,desperdiciar,to waste,Common
gâter,mimar,to spoil,Common
gauchir,torcer,to warp,Rare
gaufrer,gofrar,to waffle,Less Common
gauler,recoger,to gather,Rare
gaver,atiborrar,to stuff,Common
gazéifier,gasificar,to gasify,Rare
gazonner,engramar,to turf,Rare
gazouiller,gorjear,to chirp,Less Common
geindre,gemir,to moan,Less Common
geler,helar,to freeze,Common
gélifier,gelificar,to gel,Rare
gémir,gemir,to groan,Common
gêner,molestar,to bother,Very Common
généraliser,generalizar,to generalize,Common
générer,generar,to generate,Very Common
gerber,amontonar,to pile up,Less Common
gercer,agrietar,to crack,Less Common
gérer,gestionar,to manage,Very Common
germer,germinar,to germinate,Common
gésir,yacer,to lie down,Rare
gesticuler,gesticular,to gesticulate,Common
gicler,chorrear,to squirt,Less Common
gifler,abofetear,to slap,Common
gigoter,moverse,to wiggle,Less Common
girouetter,girar,to weathercock,Rare
gîter,alojar,to lodge,Rare
givrer,escarchar,to frost,Less Common
glacer,congelar,to freeze,Common
glaner,recoger,to glean,Common
glapir,ladrar,to yelp,Less Common
glisser,deslizar,to slide,Very Common
globaliser,globalizar,to globalize,Less Common
glorifier,glorificar,to glorify,Common
glousser,cacarear,to cackle,Less Common
gober,tragar,to gobble,Common
goguenarder,burlarse,to mock,Rare
gommer,borrar,to erase,Common
gondoler,doblar,to bend,Less Common
gonfler,inflar,to inflate,Very Common
gorger,atiborrar,to gorge,Less Common
gouailler,burlarse,to mock,Rare
goudronner,alquitrán,to tar,Less Common
goupillonner,rociar,to spray,Rare
gourmander,reprender,to scold,Less Common
goûter,probar,to taste,Very Common
goutter,gotear,to drip,Less Common
gouverner,gobernar,to govern,Very Common
gracier,indultar,to pardon,Less Common
graduer,graduar,to graduate,Less Common
graisser,engrasar,to grease,Less Common
grandir,crecer,to grow,Very Common
graniter,granitar,to granite,Rare
granuler,granular,to granulate,Rare
grappiller,rebuscar,to glean,Less Common
grasseyer,grasear,to nasalize,Rare
gratifier,gratificar,to gratify,Less Common
gratiner,gratinar,to gratinate,Less Common
gratter,rascar,to scratch,Very Common
graver,grabar,to engrave,Very Common
gravir,escalar,to climb,Common
graviter,gravitación,to gravitate,Less Common
greffer,injertar,to graft,Common
grelotter,tiritar,to shiver,Less Common
grésiller,chisporrotear,to sizzle,Less Common
grever,agravar,to burden,Rare
gribouiller,garabatear,to scribble,Less Common
griffer,arañar,to scratch,Common
griffonner,garabatear,to scribble,Common
grignoter,picar,to snack,Common
grillager,alambrar,to wire,Less Common
griller,asar,to grill,Very Common
grimacer,hacer muecas,to grimace,Common
grimer,maquillar,to make up,Less Common
grimper,escalar,to climb,Very Common
grincer,chirriar,to creak,Common
gripper,agarrotar,to seize,Less Common
griser,embriagar,to intoxicate,Less Common
grisonner,ponerse canoso,to turn grey,Less Common
grogner,gruñir,to growl,Common
grommeler,gruñir,to mutter,Less Common
gronder,regañar,to scold,Common
grossir,engordar,to fatten,Very Common
grouiller,bullir,to swarm,Less Common
grouper,agrupar,to group,Common
gruger,engañar,to cheat,Rare
grumeler,agrupar,to clump,Rare
guérir,curar,to cure,Very Common
guerroyer,luchar,to wage war,Rare
guetter,vigilar,to watch,Common
gueuler,gritar,to yell,Common
guider,guiar,to guide,Very Common
guigner,guiñar,to wink,Less Common
guillotiner,guillotinar,to guillotine,Less Common
habiliter,habilitar,to empower,Less Common
habiller,vestir,to dress,Very Common
habiter,habitar,to inhabit,Very Common
habituer,acostumbrar,to accustom,Very Common
habler,hablar,to speak,Rare
hacher,hacher,to chop,Common
hachurer,hachurar,to crosshatch,Less Common
haïr,odiar,to hate,Very Common
haler,remolcar,to haul,Less Common
haleter,jadear,to pant,Common
hanter,hanter,to haunt,Common
happer,agarrar,to grab,Less Common
haranguer,arengar,to harangue,Less Common
harasser,acoso,to harass,Less Common
harceler,acosar,to harass,Common
harmoniser,armonizar,to harmonize,Common
harnacher,arnés,to harness,Less Common
harponner,arponar,to harpoon,Less Common
hasarder,aventurarse,to hazard,Less Common
hâter,apresurarse,to hasten,Common
hausser,alzar,to raise,Very Common
héberger,hospedar,to host,Common
héler,gritar,to hail,Less Common
hennir,relinchar,to neigh,Less Common
herboriser,herborizar,to botanize,Rare
hérisser,erizar,to bristle,Common
hériter,heredar,to inherit,Common
herser,arar,to harrow,Rare
hésiter,dudar,to hesitate,Very Common
heurter,chocar,to hit,Very Common
hiberner,hibernar,to hibernate,Less Common
hiérarchiser,jerarquizar,to hierarchize,Less Common
hisser,izar,to hoist,Common
hocher,asentir,to nod,Less Common
homogénéiser,homogeneizar,to homogenize,Less Common
homologuer,homologar,to approve,Less Common
honnir,deshonrar,to dishonor,Rare
honorer,honrar,to honor,Common
hoqueter,hipo,to hiccup,Less Common
horrifier,horrorizar,to horrify,Common
horripiler,irritar,to irritate,Less Common
hospitaliser,hospitalizar,to hospitalize,Common
hourdir,urdidura,to warp,Rare
huer,abuchear,to boo,Common
huiler,aceitar,to oil,Less Common
hululer,ulular,to hoot,Rare
humaniser,humanizar,to humanize,Less Common
humecter,humedecer,to moisten,Rare
humer,oler,to smell,Less Common
humidifier,humedecer,to moisten,Less Common
humilier,humillar,to humiliate,Common
hurler,gritar,to scream,Very Common
hydrater,hidratar,to hydrate,Less Common
hypnotiser,hipnotizar,to hypnotize,Less Common
hypothéquer,hipotecar,to mortgage,Less Common
idéaliser,idealizar,to idealize,Less Common
identifier,identificar,to identify,Very Common
idolâtrer,idolatrar,to idolize,Less Common
ignifuger,ignifugar,to fireproof,Rare
ignorer,ignorar,to ignore,Very Common
illuminer,iluminar,to illuminate,Common
illusionner,ilusionar,to delude,Less Common
illustrer,ilustrar,to illustrate,Very Common
imager,imaginar,to imagine,Rare
imaginer,imaginar,to imagine,Very Common
imbiber,impregnar,to soak,Less Common
imbriquer,entrelazar,to interlock,Rare
imiter,imitar,to imitate,Very Common
immatriculer,matricular,to register,Less Common
immerger,sumergir,to immerse,Less Common
immigrer,inmigrar,to immigrate,Less Common
immobiliser,inmovilizar,to immobilize,Common
immoler,inmolar,to immolate,Rare
immortaliser,inmortalizar,to immortalize,Less Common
immuniser,inmunizar,to immunize,Less Common
impartir,impartir,to impart,Rare
impatienter,impacientar,to make impatient,Less Common
imperméabiliser,impermeabilizar,to waterproof,Less Common
implanter,implantar,to implant,Common
impliquer,implicar,to involve,Very Common
implorer,implorar,to implore,Less Common
importer,importar,to import,Very Common
importuner,importunar,to bother,Less Common
imposer,imponer,to impose,Very Common
imprégner,impregnar,to impregnate,Less Common
impressionner,impresionar,to impress,Common
imprimer,imprimir,to print,Very Common
improviser,improvisar,to improvise,Common
impulser,impulsar,to boost,Rare
imputer,imputar,to impute,Less Common
inaugurer,inaugurar,to inaugurate,Common
incarcérer,encarcelar,to incarcerate,Less Common
incarner,encarnar,to embody,Common
incendier,incendiar,to set on fire,Less Common
incinérer,incinerar,to incinerate,Less Common
inciser,incidir,to incise,Rare
inciter,incitar,to incite,Very Common
incliner,inclinar,to incline,Less Common
inclure,incluir,to include,Very Common
incomber,incumbir,to be incumbent,Less Common
incommoder,incomodar,to inconvenience,Rare
incorporer,incorporar,to incorporate,Less Common
incriminer,incriminar,to incriminate,Less Common
incruster,incrustar,to inlay,Less Common
incubar,incubar,to incubate,Rare
inculper,inculpar,to charge,Less Common
inculquer,inculcar,to instill,Less Common
incurver,curvar,to curve,Rare
indemniser,indemnizar,to compensate,Less Common
indexer,indexar,to index,Less Common
indigner,indignar,to outrage,Less Common
indiquer,indicar,to indicate,Very Common
indisposer,indisponer,to upset,Rare
individualiser,individualizar,to individualize,Less Common
induire,inducir,to induce,Common
industrialiser,industrializar,to industrialize,Less Common
infantiliser,infantilizar,to infantilize,Rare
infecter,infectar,to infect,Less Common
infester,infestar,to infest,Less Common
infiltrer,infiltrar,to infiltrate,Common
infirmer,infirmar,to infirm,Common
infléchir,inflexionar,to bend,Rare
infliger,infligir,to inflict,Common
influencer,influenciar,to influence,Very Common
influer,influir,to affect,Less Common
informatiser,informatizar,to computerize,Less Common
informer,informar,to inform,Very Common
infuser,infusionar,to infuse,Rare
ingérer,ingerir,to ingest,Less Common
ingurgiter,engullir,to gulp down,Rare
inhaler,inhalar,to inhale,Less Common
inhumer,inhumar,to inter,Less Common
initier,iniciar,to initiate,Very Common
injecter,inyectar,to inject,Common
injurier,injuriar,to insult,Less Common
innocenter,exculpar,to exonerate,Rare
innover,innovar,to innovate,Common
inoculer,inocular,to inoculate,Less Common
inonder,inundar,to flood,Common
inquiéter,inquietar,to worry,Very Common
s'inquiéter,preocuparse,to worry oneself,Common
inscrire,inscribir,to enroll,Very Common
insensibiliser,insensibilizar,to desensitize,Rare
insérer,insertar,to insert,Very Common
insinuer,insinuar,to insinuate,Less Common
insister,insistir,to insist,Very Common
insonoriser,insonorizar,to soundproof,Rare
inspecter,inspeccionar,to inspect,Common
inspirer,inspirar,to inspire,Very Common
installer,instalar,to install,Very Common
instaurer,instaurar,to establish,Common
instituer,instituir,to institute,Less Common
institutionnaliser,institucionalizar,to institutionalize,Less Common
instruire,instruir,to instruct,Very Common
instrumenter,instrumentar,to instrument,Rare
insuffler,insuflar,to instill,Less Common
insulter,insultar,to insult,Common
intégrer,integrar,to integrate,Very Common
intellectualiser,intelectualizar,to intellectualize,Rare
intensifier,intensificar,to intensify,Common
intercaler,intercalar,to intercalate,Less Common
intercéder,interceder,to intercede,Rare
intercepter,interceptar,to intercept,Common
interdire,prohibir,to forbid,Very Common
intéresser,interesar,to interest,Very Common
s'intéresser,interesarse,to be interested in,Common
interférer,interferir,to interfere,Less Common
interligner,interlinear,to interline,Rare
internationaliser,internacionalizar,to internationalize,Less Common
interner,internar,to intern,Less Common
interpeller,interpelar,to call out,Common
interposer,interponer,to interpose,Less Common
interpréter,interpretar,to interpret,Very Common
interroger,interrogar,to question,Very Common
interrompre,interrumpir,to interrupt,Very Common
intervenir,intervenir,to intervene,Very Common
intervertir,invertir,to invert,Rare
interviewer,entrevistar,to interview,Common
intimer,intimar,to intimate,Rare
intimider,intimidar,to intimidate,Common
intituler,titular,to entitle,Less Common
intoxiquer,intoxicar,to intoxicate,Less Common
intriguer,intrigar,to intrigue,Common
introduire,introducir,to introduce,Very Common
invalider,invalidar,to invalidate,Less Common
invectiver,increpar,to inveigh,Rare
inventer,inventar,to invent,Very Common
inventorier,inventariar,to inventory,Less Common
inverser,invertir,to reverse,Common
invertir,invertir,to invest,Rare
investir,investir,to invest,Very Common
inviter,invitar,to invite,Very Common
invoquer,invocar,to invoke,Less Common
iriser,irisar,to rainbow,Rare
ironiser,ironizar,to ironize,Less Common
irradier,irradiar,to irradiate,Less Common
irriguer,irrigar,to irrigate,Less Common
irriter,irritar,to irritate,Very Common
isoler,aislar,to isolate,Very Common
jacasser,parlotear,to chatter,Less Common
jachérer,dejar en barbecho,to fallow,Rare
jaillir,brotar,to gush,Common
jalonner,jalonar,to mark out,Less Common
jalouser,envidiar,to envy,Common
japper,ladrar,to yap,Less Common
jardiner,jardinear,to garden,Common
jaser,charlar,to chat,Less Common
jauger,calibrar,to gauge,Less Common
jaunir,amarillear,to yellow,Common
javelar,blanquear con lejía,to bleach,Rare
javelliser,desinfectar con lejía,to disinfect with bleach,Rare
jeter,tirar,to throw,Very Common
jeûner,ayunar,to fast,Less Common
joindre,unir,to join,Very Common
jointoyer,rejuntar,to point,Less Common
joncher,cubrir,to cover,Less Common
jongler,hacer malabares,to juggle,Common
jouer,jugar,to play,Very Common
jouir,disfrutar,to enjoy,Common
jouter,batirse,to joust,Rare
jouxter,estar junto,to be next to,Rare
jubiler,alegrarse,to rejoice,Less Common
jucher,encaramarse,to perch,Less Common
juger,juzgar,to judge,Very Common
juguler,frenar,to curb,Less Common
jumeler,hermanar,to twin,Less Common
jurer,jurar,to swear,Very Common
justifier,justificar,to justify,Very Common
juxtaposer,yuxtaponer,to juxtapose,Less Common
kidnapper,secuestrar,to kidnap,Less Common
kilométrer,medir en kilómetros,to measure in kilometers,Rare
klaxonner,tocar la bocina,to honk,Less Common
labourer,arar,to plow,Common
lacer,atar,to lace,Less Common
lacérer,desgarrar,to tear,Less Common
lâcher,soltar,to release,Very Common
laïciser,secularizar,to secularize,Less Common
laisser,dejar,to let,Very Common
lambiner,holgazanear,to dawdle,Rare
lambrisser,revestir,to panel,Rare
lamenter,lamentarse,to lament,Less Common
laminer,laminar,to laminate,Less Common
lamper,beber de un trago,to gulp down,Rare
lancer,lanzar,to throw,Very Common
languir,languidecer,to languish,Less Common
laper,lamer,to lap up,Rare
lapider,apedrear,to stone,Less Common
laquer,lacar,to lacquer,Less Common
larder,lardear,to lard,Rare
larguer,soltar,to release,Common
larmoyer,llorar,to cry,Less Common
lasser,cansar,to tire,Less Common
laver,lavar,to wash,Very Common
se laver,lavarse,to wash oneself,Very Common
lécher,lamer,to lick,Common
légaliser,legalizar,to legalize,Common
légiférer,legislar,to legislate,Common
légitimer,legitimar,to legitimize,Less Common
léguer,legar,to bequeath,Less Common
lésiner,escatimar,to skimp,Rare
lessiver,lavar,to wash,Less Common
lester,lastrar,to ballast,Rare
leurrer,engañar,to deceive,Less Common
lever,levantar,to raise,Very Common
se lever,levantarse,to get up,Very Common
lézarder,holgazanear,to bask,Less Common
libeller,redactar,to draft,Rare
libéraliser,liberalizar,to liberalize,Less Common
libérer,liberar,to liberate,Very Common
licencier,despedir,to fire,Very Common
lier,ligar,to bind,Very Common
ligaturer,ligar,to ligate,Less Common
ligner,alinear,to line,Rare
ligoter,atar,to tie up,Less Common
limer,limar,to file,Less Common
limiter,limitar,to limit,Very Common
limoger,destituir,to dismiss,Less Common
liquéfier,licuar,to liquefy,Less Common
liquider,liquidar,to liquidate,Common
lire,leer,to read,Very Common
lisser,alisar,to smooth,Common
lister,listar,to list,Common
livrer,entregar,to deliver,Very Common
lober,hacer un globo,to lob,Less Common
localiser,localizar,to locate,Common
loger,alojar,to house,Very Common
longer,bordear,to border,Common
lorgner,mirar de reojo,to ogle,Less Common
lotir,parcelar,to allot,Less Common
louanger,alabar,to praise,Rare
loucher,bizquear,to squint,Less Common
louer,alquilar,to rent,Very Common
lourer,alabar,to praise,Rare
louvoyer,zigzaguear,to zigzag,Rare
lubrifier,lubricar,to lubricate,Less Common
luire,brillar,to shine,Common
lustrer,lustrar,to polish,Less Common
lutter,luchar,to fight,Very Common
lyncher,linchar,to lynch,Rare
lyophiliser,liofilizar,to lyophilize,Rare
macérer,macerar,to macerate,Less Common
mâcher,masticar,to chew,Very Common
machiner,maquinar,to plot,Rare
mâchonner,mascullar,to mumble,Less Common
mâchouiller,masticar,to chew,Less Common
maçonner,construir,to build,Less Common
maculer,manchar,to stain,Rare
madériser,madurar en barril,to age in barrel,Rare
magasiner,hacer compras,to shop,Common
magnétiser,magnetizar,to magnetize,Less Common
magnétoscoper,grabar con magnetoscopio,to videotape,Rare
magnifier,magnificar,to magnify,Less Common
maigrir,adelgazar,to slim down,Very Common
mailler,mallas,to mesh,Rare
maintenir,mantener,to maintain,Very Common
maîtriser,dominar,to master,Very Common
majorer,aumentar,to increase,Less Common
malaxer,amasar,to knead,Less Common
malmener,maltratar,to mistreat,Less Common
maltraiter,maltratar,to abuse,Common
mandater,mandar,to mandate,Less Common
mander,enviar,to send,Less Common
manger,comer,to eat,Very Common
manier,manejar,to handle,Common
manifester,manifestar,to manifest,Very Common
manigancer,conspirar,to scheme,Less Common
manipuler,manipular,to manipulate,Very Common
manœuvrer,maniobrar,to maneuver,Common
manquer,faltar,to lack,Very Common
mansarder,construir una buhardilla,to attic,Rare
manucurer,hacer la manicura,to manicure,Rare
manufacturer,manufacturar,to manufacture,Rare
maquiller,maquillar,to make up,Common
marauder,merodear,to maraud,Less Common
marbrer,jaspear,to marble,Less Common
marchander,regatear,to haggle,Less Common
marcher,caminar,to walk,Very Common
marger,marguer,to margin,Rare
marginaliser,marginar,to marginalize,Less Common
marier,casar,to marry,Very Common
mariner,marinar,to marinate,Less Common
marmiter,hervir,to boil,Rare
marmonner,murmurar,to mumble,Less Common
marmotter,farfullar,to mutter,Less Common
marquer,marcar,to mark,Very Common
marqueter,marquetar,to inlay,Less Common
marteler,martillar,to hammer,Common
martyriser,martirizar,to martyr,Less Common
masculiniser,masculinizar,to masculinize,Rare
masquer,enmascarar,to mask,Common
massacrer,masacrar,to massacre,Common
masser,masajear,to massage,Common
massicoter,recortar,to trim,Rare
mastiquer,masticar,to chew,Less Common
matelasser,acolchar,to quilt,Less Common
mater,dominar,to subdue,Less Common
mâter,domar,to tame,Less Common
matérialiser,materializar,to materialize,Common
materner,maternar,to mother,Rare
matraquer,apalear,to club,Less Common
matriculer,matricular,to register,Rare
maudire,maldecir,to curse,Common
mazouter,ensuciar con petróleo,to oil,Rare
mécaniser,mecanizar,to mechanize,Rare
méconnaître,desconocer,to ignore,Less Common
mécontenter,disgustar,to displease,Less Common
mécrire,escribir mal,to misspell,Rare
médailler,condecorar,to decorate,Rare
médire,maldecir,to slander,Less Common
méditer,meditar,to meditate,Common
méfier,desconfiar,to distrust,Common
mégoter,escatimar,to skimp,Rare
méjuger,juzgar mal,to misjudge,Rare
mélanger,mezclar,to mix,Very Common
mêler,mezclar,to mix,Very Common
mémoriser,memorizar,to memorize,Common
menacer,amenazar,to threaten,Very Common
ménager,gestionar,to manage,Common
mendier,mendigar,to beg,Less Common
mener,llevar,to lead,Very Common
mensualiser,mensualizar,to make monthly,Rare
mensurer,medir,to measure,Rare
mentionner,mencionar,to mention,Very Common
mentir,mentir,to lie,Very Common
menuiser,carpintear,to carpentry,Rare
méprendre,equivocarse,to mistake,Less Common
mépriser,despreciar,to despise,Common
mériter,merecer,to deserve,Very Common
mésestimer,subestimar,to underestimate,Less Common
messeoir,ser adecuado,to be fitting,Rare
mesurer,medir,to measure,Very Common
métalliser,metalizar,to metallize,Rare
métamorphoser,metamorfosear,to metamorphose,Less Common
métisser,mestizar,to crossbreed,Less Common
métrer,medir,to measure,Rare
mettre,poner,to put,Very Common
meubler,amueblar,to furnish,Common
meugler,mugir,to moo,Less Common
meuler,moler,to grind,Less Common
meurtrir,magullar,to bruise,Less Common
mévendre,vender mal,to undersell,Rare
miauler,maullar,to meow,Less Common
migrer,migrar,to migrate,Common
mijoter,guisar,to simmer,Common
militariser,militarizar,to militarize,Less Common
militer,militar,to militate,Common
millésimer,datar,to date,Rare
mimer,imitar,to mimic,Common
minauder,hacer zalemas,to simper,Less Common
mincir,adelgazar,to slim,Common
minéraliser,mineralizar,to mineralize,Less Common
miniaturiser,miniaturizar,to miniaturize,Rare
minimiser,minimizar,to minimize,Common
minorer,disminuir,to lessen,Rare
minuter,cronometrar,to time,Rare
mirer,mirar,to look at,Rare
miroiter,brillar,to glitter,Less Common
miser,apostar,to bet,Common
missionner,encomendar,to commission,Less Common
miter,cubrir de agujeros,to perforate,Rare
mitiger,mitigar,to mitigate,Less Common
mitonner,guisar lentamente,to stew,Common
mitrailler,ametrallar,to machine-gun,Less Common
mobiliser,movilizar,to mobilize,Very Common
modeler,modelar,to model,Common
modéliser,modelar,to model,Less Common
modérer,moderar,to Common,Common
moderniser,modernizar,to modernize,Very Common
modifier,modificar,to modify,Very Common
moduler,modular,to modulate,Common
moirer,moirear,to watermark,Rare
moisir,enmohecer,to mildew,Less Common
moissonner,cosechar,to harvest,Common
molester,molestar,to molest,Less Common
molletonner,acolchar,to quilt,Rare
mollir,ablandar,to soften,Less Common
momifier,momificar,to mummify,Rare
monder,mondar,to peel,Less Common
mondialiser,globalizar,to globalize,Less Common
monétiser,monetizar,to monetize,Less Common
monnayer,monetizar,to coin,Less Common
monologuer,monologar,to monologue,Rare
monopoliser,monopolizar,to monopolize,Common
monter,montar,to mount,Very Common
montrer,mostrar,to show,Very Common
moquer,burlar,to mock,Very Common
moraliser,moralizar,to moralize,Common
morceler,dividir,to divide,Less Common
mordiller,mordisquear,to nibble,Common
mordre,morder,to bite,Very Common
morfondre,entristecerse,to mope,Less Common
morigéner,reprender,to reprimand,Rare
mortaiser,mortajar,to mortise,Rare
mortifier,mortificar,to mortify,Less Common
motiver,motivar,to motivate,Very Common
motoriser,motorizar,to motorize,Less Common
moucharder,delatar,to snitch,Less Common
moucher,sonar la nariz,to blow one's nose,Common
moudre,moler,to grind,Less Common
mouiller,mojar,to wet,Very Common
mouler,moldear,to mold,Common
mouliner,triturar,to grind,Less Common
moulurer,hacer molduras,to mould,Rare
mourir,morir,to die,Very Common
mousser,espumar,to foam,Common
moutonner,arremolinarse,to flock together,Rare
mouvementer,animar,to animate,Rare
mouvoir,mover,to move,Less Common
muer,mudar,to molt,Less Common
mugir,mugir,to bellow,Less Common
multiplier,multiplicar,to multiply,Very Common
municipaliser,municipalizar,to municipalize,Rare
munir,proveer,to provide,Very Common
murailler,amurallar,to wall in,Rare
murer,tapiar,to wall up,Less Common
mûrir,madurar,to ripen,Very Common
murmurer,murmurar,to murmur,Very Common
musarder,holgazanear,to loaf about,Less Common
muscler,fortalecer,to muscle,Less Common
museler,poner bozal,to muzzle,Less Common
musser,esconderse,to hide,Rare
muter,trasladar,to transfer,Common
mutiler,mutilar,to mutilate,Less Common
mutiner,amotinarse,to mutiny,Rare
mystifier,embaucar,to mystify,Less Common
nacrer,nacarar,to mother-of-pearl,Rare
nager,nadar,to swim,Very Common
naître,nacer,to be born,Very Common
nantir,dotar,to endow,Less Common
napper,cubrir,to cover,Less Common
narguer,desafiar,to taunt,Common
narrer,narrar,to narrate,Common
nasiller,hablar nasalmente,to speak nasally,Rare
nationaliser,nacionalizar,to nationalize,Common
natter,trenzar,to braid,Rare
naturaliser,naturalizar,to naturalize,Less Common
naufrager,naufragar,to shipwreck,Less Common
naviguer,navegar,to navigate,Very Common
navrer,apenar,to sadden,Less Common
nécessiter,necesitar,to need,Very Common
négliger,descuidar,to neglect,Very Common
négocier,negociar,to negotiate,Very Common
neiger,nevar,to snow,Common
nervurer,nervar,to vein,Rare
nettoyer,limpiar,to clean,Very Common
neutraliser,neutralizar,to neutralize,Common
nicher,anidar,to nest,Less Common
nickeler,niquelar,to nickel,Rare
nidifier,nidificar,to nest,Rare
nier,negar,to deny,Very Common
niveler,nivelar,to level,Less Common
noircir,ennegrecer,to blacken,Common
nomadiser,nomadizar,to be nomadic,Rare
nominaliser,nominalizar,to nominalize,Rare
nommer,nombrar,to name,Very Common
normaliser,normalizar,to normalize,Common
noter,anotar,to note,Very Common
notifier,notificar,to notify,Common
nouer,atar,to tie,Common
nourrir,alimentar,to feed,Very Common
noyauter,infiltrarse,to infiltrate,Rare
noyer,ahogar,to drown,Common
nuancer,matizar,to shade,Less Common
nucléer,nuclear,to nucleate,Rare
nuer,nublar,to cloud,Rare
nuire,dañar,to harm,Very Common
numéroter,numerar,to number,Less Common
obéir,obedecer,to obey,Very Common
objecter,objetar,to object,Common
obliger,obligar,to oblige,Very Common
obliquer,virar,to swerve,Rare
oblitérer,obliterar,to obliterate,Less Common
obnubiler,obnubilar,to cloud over,Rare
obscurcir,oscurecer,to darken,Common
obséder,obsesionar,to obsess,Less Common
observer,observar,to observe,Very Common
obstiner,obstinarse,to persist,Less Common
obstruer,obstruir,to obstruct,Less Common
obtempérer,obedecer,to obey,Less Common
obtenir,obtener,to obtain,Very Common
obturer,obturar,to seal,Rare
occasionner,ocasionar,to cause,Common
occlure,ocluir,to occlude,Rare
occulter,ocultar,to hide,Less Common
occuper,ocupar,to occupy,Very Common
s'occuper,ocuparse,to take care of,Very Common
octavier,octavar,to octave,Rare
octroyer,otorgar,to grant,Less Common
œuvrer,obrar,to work,Common
offenser,ofender,to offend,Common
officialiser,oficializar,to officialize,Less Common
officier,oficiar,to officiate,Less Common
offrir,ofrecer,to offer,Very Common
offusquer,ofuscar,to offend,Less Common
oindre,ungir,to anoint,Rare
ombrager,sombrear,to shade,Less Common
ombrer,sombrear,to shade,Less Common
omettre,omitir,to omit,Common
ondoyer,ondear,to undulate,Rare
onduler,ondular,to wave,Common
opacifier,opacar,to opacify,Rare
opérer,operar,to operate,Very Common
opiner,opinar,to opine,Less Common
opposer,oponer,to oppose,Very Common
oppresser,oprimir,to oppress,Less Common
opprimer,oprimir,to oppress,Common
opter,optar,to opt,Very Common
optimaliser,optimizar,to optimize,Rare
orchestrer,orquestar,to orchestrate,Common
ordonnancer,ordenar,to order,Rare
ordonner,ordenar,to order,Very Common
organiser,organizar,to organize,Very Common
orienter,orientar,to orient,Very Common
ornementer,ornamentar,to ornament,Rare
orner,adornar,to adorn,Common
orthographier,ortografiar,to spell,Less Common
osciller,oscilar,to oscillate,Common
oser,osar,to dare,Very Common
ossifier,osificar,to ossify,Rare
ôter,quitar,to remove,Very Common
ouater,acolchar,to pad,Rare
oublier,olvidar,to forget,Very Common
ouïr,oír,to hear,Rare
ourdir,tramar,to plot,Rare
ourler,ribetear,to hem,Less Common
outiller,equipar,to equip,Rare
outrager,ultrajar,to outrage,Less Common
outrepasser,sobrepasar,to overstep,Less Common
outrer,exagerar,to exaggerate,Less Common
ouvrager,labrar,to work on,Rare
ouvrir,abrir,to open,Very Common
ovationner,ovacionar,to ovate,Less Common
oxyder,oxidar,to oxidize,Less Common
oxygéner,oxigenar,to oxygenate,Less Common
pactiser,pactar,to pact,Less Common
paganiser,paganizar,to paganize,Rare
pagayer,remar,to paddle,Less Common
paginer,paginar,to paginate,Rare
pailler,empajar,to mulch,Less Common
pailleter,poner lentejuelas,to spangle,Rare
paître,pastar,to graze,Less Common
palabrer,parlotear,to babble,Rare
pâlir,palidecer,to pale,Common
palissader,palizar,to fence in,Rare
palisser,emparrar,to trellis,Rare
palissonner,entarimar,to floor,Rare
pallier,paliar,to mitigate,Common
palmer,palmear,to palm,Rare
paloter,toquetear,to fumble,Rare
palper,palpar,to feel,Less Common
palpiter,palpitar,to throb,Less Common
pâmer,desmayarse,to swoon,Rare
panacher,mezclar,to variegate,Rare
paner,empanar,to bread,Less Common
panifier,panificar,to bake,Rare
paniquer,paniquear,to panic,Common
panner,empanar,to pan,Rare
panser,vendar,to bandage,Less Common
papillonner,revolotear,to flutter,Less Common
papoter,chacharear,to chatter,Common
parachever,finalizar,to finalize,Less Common
parachuter,lanzar en paracaídas,to parachute,Less Common
parader,desfilar,to parade,Less Common
parafer,rubricar,to initial,Rare
paraffiner,parafinar,to paraffin,Rare
paraître,parecer,to appear,Very Common
paralyser,paralizar,to paralyze,Common
parapher,firmar,to sign,Rare
paraphraser,parafrasear,to paraphrase,Less Common
parasiter,parasitar,to parasite,Less Common
parcellariser,parcelar,to parcel,Rare
parcelliser,parcelar,to parcel,Rare
parcheminer,pergaminar,to parchment,Rare
parcourir,recorrer,to browse,Very Common
pardonner,perdonar,to forgive,Very Common
parementer,adornar,to adorn,Rare
parer,adornar,to adorn,Common
paresser,holgazanear,to laze,Less Common
parfaire,perfeccionar,to perfect,Less Common
parfumer,perfumar,to perfume,Common
parier,apostar,to bet,Very Common
parjurer,perjurar,to perjure,Rare
parlementer,parlamentar,to parley,Less Common
parler,hablar,to talk,Very Common
parodier,parodiar,to parody,Less Common
parquer,aparcar,to park,Less Common
parqueter,poner parquet,to parquet,Rare
parrainer,apadrinar,to sponsor,Less Common
parsemer,esparcir,to sprinkle,Less Common
partager,compartir,to share,Very Common
participer,participar,to participate,Very Common
particulariser,particularizar,to particularize,Rare
partir,partir,to leave,Very Common
parvenir,alcanzar,to achieve,Very Common
passementer,ribetear,to lace,Rare
passepoiler,ribetear,to braid,Rare
passer,pasar,to pass,Very Common
se passer,ocurrir,to happen,Common
passionner,apasionar,to fascinate,Common
pasteuriser,pasteurizar,to pasteurize,Less Common
pasticher,imitar,to mimic,Rare
pastiller,crear,to create,Rare
patouager,chapotear,to paddle,Rare
patenter,patentar,to patent,Rare
patienter,esperar,to wait,Common
